Título,Link,Nodes
"Slack AI Chatbot for business team with RAG, Claude 3.7 and Drive",https://n8n.io/workflows/3334-slack-ai-chatbot-for-business-team-with-rag-claude-3-7-and-drive/,10
Create Low‑Cost AI Videos with Veo3 Fast and upload to YouTube/TikTok,https://n8n.io/workflows/3322-create-low-cost-ai-videos-with-veo3-fast-and-upload-to-youtube-and-tiktok/,6
AI‑powered email processing autoresponder with optional human approval,https://n8n.io/workflows/3340-ai-powered-email-processing-autoresponder-with-human-approval/,7
Create a Session‑Based Telegram Chatbot with GPT‑4o‑mini and Google Sheets,https://n8n.io/workflows/3317-create-a-session-based-telegram-chatbot-with-gpt-4o-mini-and-google-sheets/,6
Scrape Trustpilot Reviews with DeepSeek and Analyze Sentiment via OpenAI,https://n8n.io/workflows/3348-scrape-trustpilot-reviews-with-deepseek-and-analyze-sentiment-via-openai/,8
"Personal Shopper Chatbot for WooCommerce with RAG (Google Drive, OpenAI)",https://n8n.io/workflows/3332-personal-shopper-chatbot-for-woocommerce-with-rag-google-drive-and-openai/,9
AI‑Powered Email Automation for Business: Summarize & Respond with RAG,https://n8n.io/workflows/3321-ai-powered-email-automation-for-business-summarize-and-respond-with-rag/,8
Build an OpenAI Assistant with Google Drive Integration,https://n8n.io/workflows/3350-build-an-openai-assistant-with-google-drive-integration/,9
Build an AI Powered Phone Agent with Retell & Google Calendar (RAG),https://n8n.io/workflows/3339-build-an-ai-powered-phone-agent-with-retell-and-google-calendar-rag/,10
Human in the Loop Email Response System Using AI and IMAP,https://n8n.io/workflows/3313-human-in-the-loop-email-response-system-using-ai-and-imap/,7
Google Calendar Reminder System with GPT‑4o & Telegram,https://n8n.io/workflows/3330-google-calendar-reminder-system-with-gpt-4o-and-telegram/,6
"AI Email Analyzer: Process PDFs, Images & Save to Google Drive + Telegram",https://n8n.io/workflows/3342-ai-email-analyzer-process-pdfs-images-and-save-to-google-drive-plus-telegram/,10
"Build a Chatbot, Voice and Phone Agent with Voiceflow & RAG",https://n8n.io/workflows/3333-build-a-chatbot-voice-and-phone-agent-with-voiceflow-and-rag/,10
"Publish image & video to multiple social media (X, Instagram, Facebook etc.)",https://n8n.io/workflows/3326-publish-image-and-video-to-multiple-social-media-x-instagram-facebook-and-more/,9
Effortless Email Management with AI‑Powered Summarization & Review,https://n8n.io/workflows/3351-effortless-email-management-with-ai-powered-summarization-and-review/,9
"Build a PDF Document RAG System with Mistral OCR, Qdrant & Gemini AI",https://n8n.io/workflows/3344-build-a-pdf-document-rag-system-with-mistral-ocr-qdrant-and-gemini-ai/,8
"Publish WordPress Posts to Social Media X, Facebook, LinkedIn, Instagram with AI",https://n8n.io/workflows/3319-publish-wordpress-posts-to-social-media-x-facebook-linkedin-instagram-with-ai/,8
Complete business WhatsApp AI‑Powered RAG Chatbot using OpenAI,https://n8n.io/workflows/2845-complete-business-whatsapp-ai-powered-rag-chatbot-using-openai/,16
Automate SEO‑Optimized WordPress Posts with AI & Google Sheets,https://n8n.io/workflows/3085-automate-seo-optimized-wordpress-posts-with-ai-and-google-sheets/,10
Automate Content Generator for WordPress with DeepSeek R1,https://n8n.io/workflows/2813-automate-content-generator-for-wordpress-with-deepseek-r1/,7
AI Automated HR Workflow for CV Analysis and Candidate Evaluation,https://n8n.io/workflows/2860-ai-automated-hr-workflow-for-cv-analysis-and-candidate-evaluation/,12
AI Voice Chatbot with ElevenLabs & OpenAI for Customer Service and Restaurants,https://n8n.io/workflows/2846-ai-voice-chatbot-with-elevenlabs-and-openai-for-customer-service-and-restaurants/,15
"AI‑Powered WhatsApp Chatbot for Text, Voice, Images & PDFs with memory",https://n8n.io/workflows/3586-ai-powered-whatsapp-chatbot-for-text-voice-images-and-pdfs-with-memory/,13
"Generate AI Videos with Google Veo3, Save to Google Drive and Upload to YouTube",https://n8n.io/workflows/4846-generate-ai-videos-with-google-veo3-save-to-google-drive-and-upload-to-youtube/,10
